;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVTNAME97600;Sakoku;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVTDESC97600;Meaning 'locked country', Sakoku was the foreign relations policy of Japan instituted by the Tokugawa shogunate in the 17th century, with no foreigner allowed to enter the country on pain of death. While some contact with westerners was permitted in the south, at the Dejima trade enclave in particular, such contact was strictly regulated and kept Japan in a state of isolation from the rest of the world.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVTNAME97601;Rangaku;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVTDESC97601;Meaning 'Western Learning', Rangaku referred to the body of knowledge developed by Japan through its contacts with the Dutch enclave at Dejima. Despite the enforced isolation of the nation, this policy of learning allowed western influences to spread-- particularly in the southern domains of Satsuma and Choshu.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVTNAME97605;Kurofune;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVTNAME97606;Commodore Perry Successful;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVTDESC97606;Commodore Perry has returned from his mission to Japan with a treaty in hand: we have gained numerous trade concessions, but more importantly we have cracked open the shield that is Japan's policy of isolation. This is a great coup for American diplomacy and influence in the Far East.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVTNAME97607;The Japanese Are Defiant!;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVTDESC97607;Commodore Perry has returned from his mission to Japan with unfortunate news: they have chosen to defy his ultimatum and thumb their collective noses at our government. Should we back down now, it will be a great blow to our prestige and our influence in the Far East.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVTNAME97608;Japanese Surrender?;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVTDESC97608;We are being overwhelmed by the superior might of western armaments. Despite the loss of face, we must consider offering the hated foreigners terms of our surrender.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVTNAME97609;The Japanese Have Surrendered;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVTDESC97609;We have formally concluded a treaty with the Japanese which will see our influence restored, and our demands for their ports to be opened to our ships to be met. Additionally, an indemnity will be placed upon their government to make up for the expense of the $COUNTRY_ADJ$ war effort.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVTNAME97610;The Japanese Have Refused!;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVTDESC97610;Despite the overwhelming odds against them, the Japanese have refused our generous offer of surrender.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVTNAME97615;Sonno Joi;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVTDESC97615;'Revere the emperor and expel the barbarians!'\n\nThis is the slogan chanted by neo-confucian activists, reacting to the Tokugawa shogunate's opening of Japan to foreigners. There have been growing reports of violence all over the country, primarily against foreign visitors and statesmen but also against the shogunate itself. Each incident chips away at Tokugawa control over the daimyo and erodes relations with the western powers.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVTNAME97616;$PROVINCENAME$ Incident;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVTDESC97616;There has been an incident in $PROVINCENAME$ where samurai, acting under the political slogan of 'Sonno Joi', have committed violence against foreigners conducting business in $STATENAME$. The incident has affected the Tokugawa shogunate's relations with foreign powers, as well as incited locals into riot.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVTNAME97617;Order to Expel the Barbarians;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVTDESC97617;In an unprecedented move, the Imperial Court has issued an edict to expel the foreign barbarians present in Japan. This runs in contravention to the traditional role of the Emperor as a figurehead, is a challenge to the shogunate's power, and may serve to further incite rebellion.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVTDESC97618;In an unprecedented move, the Imperial Court has issued an edict to expel the foreign barbarians present in Japan. This runs in contravention to the traditional role of the Emperor as a figurehead, and is a challenge to the shogunate's power. The $COUNTRY_ADJ$ clan must decide whether it supports the Emperor's edict or quietly opposes it.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVTNAME97620;The Death of Iesada;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVTDESC97620;Tokugawa Iesada, the 13th shogun of Japan, has died childless. This has begun a struggle within the bakufu to select a replacement. The southern tozama daimyo wish to see Tokugawa Yoshinobu become shogun, while the fudai daimyo and shogunate officials are more in favor of Tokugawa Iemochi-- even though he is still but a child. It seems certain that, no matter which candidate is victorious, the disaffected daimyo will see this as a loss of power and make trouble.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVTNAME97621;Tokugawa Yoshinobu is Shogun;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVTDESC97621;The shogunate has taken a step in the right direction and appointed Tokugawa Yoshinobu as the new leader of the bakufu following the death of Iesada. This was always the preferred choice of the tozama daimyo, and perhaps it is a sign that the bakufu is not only willing to do what it must to keep Japan strong but also a sign that the tozama will be permitted more influence within the shogunate.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVTDESC97622;Even though the fudai daimyo, the relatives and close allies of the Tokugawa clan, supported the appointment of young Iemochi as the new shogun following Iesada's death, instead the leader of the bakufu will be Yoshinobu... a candidate favored by the outsider tozama daimyo. The fudai are growing increasingly alarmed at the insidious influence of the tozama, and there is a stirring sentiment that perhaps the time has come for a grander change.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVTNAME97623;Tokugawa Iemochi is Shogun;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVTDESC97623;Pandering once again to the fudai daimyo, all relatives and close allies within the bakufu, the child Iemochi has been appointed shogun-- instead of the more sensible candidate chosen by the tozama. It is becoming increasingly clear that a larger change is necessary. Perhaps the time has come for the Emperor to rule Japan, a single leader to bring the nation into this new era?;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVTDESC97624;The shogunate has taken a step in the right direction and appointed Tokugawa Iemochi as the new leader of the bakufu following the death of Iesada. This was always the preferred choice of the fudai daimyo, and perhaps it is a sign that the bakufu is not only willing to do what it must to keep Japan strong but also a sign that the outsider tozama will have their influence in the bakufu kept to a minimum.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVTNAME97625;Sakuradamon Incident;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVTDESC97625;The shogun's Chief Minister has been assassinated by ronin samurai outside the very gates of Edo castle! Though the ronin were either cut down or committed seppuku, a manifesto found on their bodies makes it clear their act was a reaction to the recent purge instigated by the Chief Minister against agitators within the shogunate. This is a clear sign that upheaval against the bakufu has reached an unacceptable point. Many are urging that a policy of Kobu Gattai-- a union of the bakufu and the imperial court-- may be required.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVTDESC97626;The shogun's Chief Minister has been assassinated by ronin samurai outside the very gates of Edo castle! Though the ronin were either cut down or committed seppuku, a manifesto found on their bodies makes it clear their act was a reaction to the recent purge instigated by the Chief Minister against agitators within the shogunate. This is a clear sign that upheaval against the bakufu has reached an unacceptable point, and thus the bakufu has begun a compromise policy of Kobu Gattai-- a union of the bakufu and the imperial court. Some are seeing this as a sign of further weakness.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVTDESC97627;The shogun's Chief Minister has been assassinated by ronin samurai outside the very gates of Edo castle! Though the ronin were either cut down or committed seppuku, a manifesto found on their bodies makes it clear their act was a reaction to the recent purge instigated by the Chief Minister against agitators within the shogunate. This is a clear sign that upheaval against the bakufu has reached an unacceptable point, yet the shogunate refuses to compromise with the imperial court. Many are certain this will only speed up the coming conflict.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVTNAME97630;The Death of Emperor Komei;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVTDESC97630;There are some who believe that Emperor Komei was assassinated-- delivered a handkerchief laced with smallpox, perhaps by radicals who fear the possibility of compromise between the bakufu and the imperial court. No matter the truth, the death of the Emperor has placed the young Emperor Meiji upon the imperial throne and eliminated any chance of compromise.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVTNAME97635;Opposition to the Bakufu;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVTDESC97635;There is a growing restlessness among the daimyo, with some whispering that the Tokugawa shogunate has grown weak and is unable to deal with the encroachment of foreign powers. Officials within the bakufu are urging that we seek allies among either the outsider tozama or the traditional fudai, to strengthen the shogunate's position. Approaching one means angering the other, of course, but it appears we have little choice.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVTDESC97636;There is a growing restlessness among the daimyo, with some whispering that the Tokugawa shogunate has grown weak and is unable to deal with the encroachment of foreign powers. We have received word that the shogunate has consulted with the outsider tozama, perhaps seeking new allies. If so, this compounds injury with insult.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVTDESC97637;There is a growing restlessness among the daimyo, with some whispering that the Tokugawa shogunate has grown weak and is unable to deal with the encroachment of foreign powers. We have received word that the shogunate has consulted with the fudai daimyo, perhaps seeking new allies. This is hardly unexpected, though the tozama agree this makes it clear that the shogunate is not the future of Japan.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVTNAME97640;The Meiji Rebellion;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVTDESC97640;The $FROMCOUNTRY_ADJ$ clan has made a bold move: they have declared they intend to see the emperor restored to rule over all of Japan. The $COUNTRY_ADJ$ must make a decision: do we throw in our support with the imperial court, or do we uphold our duty and support the shogun?;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVTDESC97641;The $FROMCOUNTRY_ADJ$ clan has made a bold move: they have seized control of the palace at Kyoto and declared they intend to see the emperor restored to rule over Japan. Word has it they have recruited fellow daimyo to stand with them in this traitorous war. We must issue a call to our allies and move at once!\n\n§RNOTE: To win this war, you must occupy Kyoto and the rebellion leader's capital. You must not allow Edo to become occupied, and you cannot White Peace. If you White Peace, you lose.§W;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVTDESC97642;The $FROMCOUNTRY_ADJ$ clan has made a bold move: they have declared they intend to see the emperor restored to rule over all of Japan. We have little choice, as they have forced our hand. Either we rise up against the Shogun now, or the Shogun will assume we are behind the rebellion even if we are not. The time has come to fight!;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVTNAME97645;We Are Defeated;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVTDESC97645;The Edo palace has been occupied, and our loyal daimyo are on the retreat. Our advisors tell us that our only option is to lay down our arms and allow the Emperor his victory. There is a place for the Tokugawa within the new order.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVTNAME97646;The Meiji Restoration;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVTDESC97646;$COUNTRY_ADJ$ clan forces have marched triumphantly into Edo, and the Tokugawa shogunate has agreed to a permanent peace. For the first time since before the Sengoku, the Imperial Court now rules Japan once again. Victory is ours!;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVTDESC97647;Emperor Meiji has been restored to rule over Japan. An imperial messenger has arrived at the $COUNTRY_ADJ$ palace in $CAPITAL$ to demand our willing allegiance to the Emperor.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVTNAME97648;A New Capital in the East?;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVTDESC97648;While Kyoto has long been the capital of Japan, and home to the Imperial Court, the city of Edo has become the de facto capital-- for centuries it has been the center of shogunate power, as well as a cultural and administrative center. The Emperor will need to decide whether the court should move to Edo and create a new capital... or remain in Kyoto and revitalize it instead.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVTNAME97650;We Are Defeated;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVTDESC97650;The Imperial palace at Kyoto has been occupied, and our daimyo allies are on the retreat. Our advisors tell us that our only option is to lay down our arms and allow the Shogun his victory. If we are fortunate, the $COUNTRY_ADJ$ clan will not be wiped out by this unfortunate turn of events.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVTNAME97651;Tokugawa Victory;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVTDESC97651;Tokugawa clan forces have marched triumphantly into Kyoto, and the traitor daimyos have agreed to a permanent peace. The Bakumatsu has ended with the shogunate in control once again-- victory is ours!;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVTDESC97652;The Tokugawa shogunate has once again asserted control over Japan. A bakufu messenger has arrived at the $COUNTRY_ADJ$ palace in $CAPITAL$ to demand our submission to direct rule from Edo.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVTDESC97605;More 'black ships' have appeared off our shores, these ones commanded by an American named Commodore Matthew Perry. The ill-tempered westerner is demanding an end to the Japanese policy of Sokoku-- specifically trading rights in several ports, extraterritoriality for American sailors and protection for their shipwrecks. At first he demanded to negotiate with the Emperor, but that is impossible. Thus it falls to the Shogun to either agree to his demands, risking the appearance of weakness, or refuse and bring the wrath of the Americans upon us.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVTNAME97660;The Taisho Era;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVTDESC97660;With the ascension of Emperor Taisho, whose poor health has prompted a shift in political power from Japan's old guard to the Imperial Diet, democratic parties are beginning to see their influence spread throughout the country. Though democratic tradition is not deeply rooted, the idea of enfranchisement as a right of the individual Japanese citizen has become far more broadly accepted. Students, university professors and journalists inspired by Western schools of thought have organized public demonstrations to demand new reforms.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVTNAME97665;The Satsuma Rebellion;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVTDESC97665;A growing dissatisfaction among the former samurai with the abolition of the han system and the resulting reduction in their personal prestige has crystallized in a rebellion. Led by one of the most prestigious samurai leaders of the former Satsuma Domain, Saigo Takamori, the rebellion has attracted a large number of followers and will be a severe challenge for the Japanese government to deal with.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVTNAME97670;The Northern Islands;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVTDESC97670;The islands of Sakhalin and the Kurils are a natural extension of our holdings on Hokkaido, and we must seek to claim these places before the Russians do so first.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVTNAME97673;The Path of Progress;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVTDESC97673;$COUNTRY$ has followed a militaristic path until now, determined to set ourselves against our neighbours in the interest of security-- while risking that security with dangerous wars. The new $COUNTRY_ADJ$ government has determined that this must change. We must follow a path of progress, and instead devote outselves to technology and westernization if we are to remain free and whole.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVTNAME97674;The Line of Advantage;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVTDESC97674;The $COUNTRY_ADJ$ government has followed a policy of progress and westernization until now, hoping that advancing $COUNTRY$ to match the Western powers would keep us safe. We now see this is in error, and that only by an aggressive expansion of our borders can we hope to maintain the security of $COUNTRY$ proper.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVTNAME97675;China in Chaos;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVTDESC97675;The Chinese have fallen into warring factions, all but crumbling their power and leaving us an advantage we would be fools not to exploit. The Line of Advantage policy dictates that we should strike, and strike soon.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVTNAME97676;War With $FROMCOUNTRY$!;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVTDESC97676;Believing $COUNTRY$ to be weak, the hated Japanese have decided to strike at us and take control of our government. They shall find us a difficult target!;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVTNAME97677;The Korean Question;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVTDESC97677;Our nation's policy of the Line of Advantage dictates that we must expand our borders if we are to maintain security. Naturally, our most vulnerable point lies in neighbouring Korea. They must either be brought under our direct control or made into a vassal if $COUNTRY$ is to be kept safe. Already $COUNTRY_ADJ$ generals are clamoring for war.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVTNAME97678;The Formosa Question;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVTDESC97678;The recent murder of Japanese sailors off the coast of Formosa has given rise to a question within the $COUNTRY_ADJ$ government: should we use this excuse to step in and wrest control of the southern island? The Line of Advantage is clear, dictating that the land would be invaluable to our goals. But are we willing to risk such a war?;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVTNAME97679;The $FROMCOUNTRY_ADJ$ Demand;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVTDESC97679;After the recent murders of a number of $FROMCOUNTRY_ADJ$ sailors off the coast of Formosa, the $FROMCOUNTRY_ADJ$ government has delivered a demand: turn over the island, for the sake of their security, or it shall be war between $FROMCOUNTRY$ and $COUNTRY$. We know this is just an excuse for their militarist expansion... but can we stand up against their might?;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
